german_noun,gender,translation,level
Spezial-,der,special,B1
Spezialgebiet,das,"special field, speciality",
Spezialist,der,specialist,B1
Spiegel,der,mirror,B1
Spiegelei,das,fried egg,
Spiel,das,"game, match, play",A2
Spieler,der,"player, gambler, gamer",B1
Spielplatz,der,playground,B1
Spielzeug,das,toy,B1
Spinne,die,spider,
Spitze,die,"point, top, peak, lace",
Spitzname,der,nickname,
Sport,der,sport,A1
Sportart,die,"type of sport, discipline",B1
Sportler,der,"athlete, sportsman",B1
Sportplatz,der,"sports field, sports ground, playing field",A2
Sprache,die,"language, speech",A1
Sprecher,der,"speaker, spokesperson, spokesman",
Sprechstunde,die,"office hours, consultation hours",A2
Sprichwort,das,"saying, proverb",
Spritze,die,"syringe, injection, shot",B1
Spruch,der,"saying, slogan",
Sprudel,der,"sparkling water, fizz",
Sprung,der,"jump, leap, plunge, vault, crack",
Spur,die,"track, trace, lane",B1
Staat,der,"state, country",
Staatsbürgerschaft,die,"citizenship, nationality",
Staatsregierung,die,state government,
Stabilität,die,stability,
Stachel,der,"sting, thorn, spike, spine",
Stadion,das,stadium,B1
Stadt,die,"city, town",A1
Stadtplan,der,"map, street map, city map",A2
Stadtteil,der,"district, quarter, part of town",
Stall,der,"stable, barn, shed, hutch",
Stamm,der,"trunk, stem, tribe, clan",
Stand,der,"stand, booth, state, status, score",
Standard,der,standard,
Standardbrief,der,standard letter,
Standort,der,"site, location",
Standpunkt,der,"standpoint, point of view, viewpoint, position",B1
Stapel,der,"stack, pile",
Star,der,"star, starling",A2
Stärke,die,"strength, force",
Start,der,"start, take-off, launch",B1
Station,die,"station, stop",B1
Statistik,die,statistics,B1
Status,der,"status, state",
Stau,der,"traffic jam, congestion",B1
Staub,der,dust,B1
Staubsauger,der,"vacuum (cleaner), hoover",
Steak,das,steak,
Steckdose,die,"socket, outlet, power socket, power outlet",B1
Stecker,der,"plug, connector, jack",B1
Steigerung,die,increase,
Stein,der,"rock, stone",B1
Steinbock,der,"ibex, Capricorn",
Stelle,die,"place, position, location, job",A1
Stellenanzeige,die,job advertisement,
Stellung,die,"position, standing",
Stellungnahme,die,"opinion, statement",
Stellvertreter,der,"deputy, representative, proxy, substitute",
Stempel,der,stamp,B1
Stern,der,star,B1
Sternzeichen,das,"star sign, zodiac sign",
Steuer,das,"steering wheel, helm",
Steuer,die,tax,B1
Steuererklärung,die,"tax return, tax declaration",
Steuerung,die,"control, steering",
Steward,der,steward,B1
Stewardess,die,stewardess,B1
Stiefel,der,boot,A2
Stier,der,"bull, Taurus",
Stift,der,"pen, pencil, peg, tack, pin",A2
Stiftung,die,"foundation, institute, donation, charity, endowment",
Stil,der,style,B1
Stille,die,"silence, stillness, quietness, calm, tranquillity",
Stimme,die,"voice, vote",B1
Stimmung,die,"mood, atmosphere",B1
Stipendium,das,"scholarship, grant, stipend, bursary",A2
Stirn,die,forehead,
Stock,der,"floor, story, storey, stick, cane",A1
Stockwerk,das,"floor, level, storey, story",A2
Stoff,der,"fabric, cloth, material, substance",B1
Stolz,der,pride,
Störung,die,"disturbance, disruption, interruption, fault, disorder",B1
Strafe,die,"punishment, penalty, fine",B1
Straftat,die,"crime, offence, offense, criminal offence",
Strafzettel,der,"(parking) ticket, (speeding) ticket",B1
Strahl,der,"ray, beam, streak, jet, spurt",
Strahlung,die,radiation,
Strand,der,beach,A2
Straße,die,"road, street",A1
Straßenbahn,die,"tram, tramway",A1
Strauch,der,"shrub, bush",
Strauß,der,"bouquet, bunch, ostrich",
Streber,der,"swot, grind, geek, nerd",
Strecke,die,"distance, route",B1
Streich,der,"trick, prank, stroke, blow",
Streichholz,das,match,B1
Streifen,der,"stripe, strip",
Streik,der,strike,B1
Streit,der,"argument, dispute, quarrel, fight, conflict",B1
Stress,der,stress,A2
Strom,der,"stream, current, electricity, power, flow",B1
Strömung,die,"current, flow, drift, trend",
Struktur,die,structure,B1
Strumpf,der,"stocking, sock",B1
Stück,das,"piece, part, bit",A2
Student,der,student,A1
Studentin,die,student (female),A1
Studie,die,study,B1
Studiengang,der,"course of study, degree course, degree programme, degree program",
Studierende,der,student,B1
Studio,das,studio,B1
Studium,das,"study, studies",A1
Stufe,die,"step, level",B1
Stuhl,der,chair,A2
Stunde,die,"hour, lesson",A1
Stundenplan,der,"timetable, schedule",A2
Sturm,der,storm,B1
Sturz,der,fall,
Substanz,die,substance,
Suche,die,search,
Sucht,die,"addiction, obsession, craving",B1
Suchtmittel,das,"object of addiction, addictive substance, addictive drug",B1
Südamerika,das,South America,
Süddeutschland,das,South(ern) Germany,
Süden,der,south,A1
Summe,die,sum,B1
Sumpf,der,"swamp, marsh, bog, quagmire",
Supermarkt,der,supermarket,A2
Suppe,die,"soup, potage",A2
Süßigkeit,die,"sweet, candy, goody",A2
Symbol,das,symbol,B1
Symptom,das,symptom,
System,das,system,B1
Szene,die,scene,B1
T-Shirt,das,T-shirt,A2
Tabelle,die,"table, chart",B1
Tablet,das,tablet (computer),A2
Tablette,die,"tablet, pill",A2
Tafel,die,"board, blackboard, table",A2
Tag,der,day,A1
Tagebuch,das,"diary, journal",
Tagesablauf,der,daily routine,B1
Tagesordnung,die,agenda,
Tageszeitung,die,daily newspaper,
Taktik,die,tactic,
Tal,das,valley,B1
Talent,das,talent,B1
Tank,der,tank,
Tankstelle,die,"gas station, petrol station, filling station, gas station",B1
Tante,die,aunt,A2
Tanz,der,dance,B1
Tänzer,der,dancer,
Tapete,die,wallpaper,
Tarif,der,"tariff, rate, fare, plan",
Tasche,die,"pocket, bag",A1
Taschengeld,das,"pocket money, allowance",A2
Taschentuch,das,"tissue, handkerchief, kleenex®",B1
Tasse,die,"cup, mug",A2
Tastatur,die,keyboard,B1
Taste,die,"key, button",B1
Tat,die,"act, deed, action, crime",B1
Täter,der,"culprit, offender, perpetrator",B1
Tätigkeit,die,"activity, work, job, occupation",B1
Tatort,der,"crime scene, scene of the crime",
Tatsache,die,fact,B1
Taube,die,"dove, pigeon",
Taxi,das,"taxi, cab",A1
Team,das,team,A2
Technik,die,"technology, technique",B1
Techniker,der,"technician, engineer",A2
Technologie,die,technology,B1
Tee,der,tea,A1
Teelöffel,der,teaspoon,
Teich,der,pond,
Teig,der,"dough, batter, pastry, mixture",
Teil,der,"part, piece, section, share",A1
Teil,das,"part, piece, particle, component",B1
Teilchen,das,particle,
Teilnahme,die,"participation, attendance",B1
Teilnehmer,der,"participant, attendee",B1
Teilzeit,die,part-time,B1
Telefon,das,"telephone, phone",A1
Telefonat,das,telephone call,
Teller,der,plate,A2
Temperatur,die,temperature,B1
Tempo,das,"pace, speed, Kleenex, tissue",B1
Tendenz,die,"trend, tendency",
Tennis,das,tennis,A2
Teppich,der,"carpet, rug",B1
Termin,der,"appointment, date, deadline",A1
Terminkalender,der,"calendar, diary, planner, timetable, datebook",B1
Terrasse,die,"terrace, patio",B1
Terror,der,"terror, terrorism",
Terrorismus,der,terrorism,
Terrorist,der,terrorist,
Test,der,test,A1
Testament,das,"(last) will, testament",
Teufel,der,"devil, demon, evil person, Satan",
Text,der,text,A1
Textaufbau,der,text structure,B1
Theater,das,theatre,A2
Theaterstück,das,play,
Thema,das,"subject, topic, theme, issue",A1
Theorie,die,theory,B1
Therapeut,der,therapist,
Therapie,die,therapy,B1
Thermometer,das,thermometer,
These,die,thesis,
Ticket,das,ticket,A1
Tiefe,die,depth,
Tier,das,animal,A2
Tierarzt,der,"vet, veterinarian",
Tierpark,der,zoo,B1
Tipp,der,"tip, hint, bet",A2
Tisch,der,table,A1
Titel,der,"title, heading",A2
Tochter,die,daughter,A1
Tod,der,death,B1
Toilette,die,"toilet, restroom",A1
Toleranz,die,tolerance,
Tomate,die,tomato,A1
Ton,der,"sound, tone, clay",
Tonne,die,"ton, metric ton, tonne, barrel",
Top,das,top,
Topf,der,pot,A2
Tor,das,"gate, goal",B1
Torte,die,"cake, torte, tart, gateau, flan",A2
Tote,der,dead person,B1
Tour,die,"tour, trip",A2
Tourismus,der,tourism,B1
Tourist,der,tourist,A2
Tradition,die,tradition,B1
Träger,der,"carrier, wearer, holder, support",
Trainer,der,"coach, trainer",B1
Training,das,"training, workout, practice",A2
Tram,die,tram(way),B1
Träne,die,tear,B1
Traum,der,dream,B1
Trend,der,trend,
Trennung,die,separation,B1
Treppe,die,"stairs, staircase",A1
Treppenhaus,das,"stairwell, staircase",B1
Tresor,der,safe,
Trick,der,trick,
Trinkgeld,das,tip,B1
Trockenheit,die,"dryness, drought",
Tropfen,der,drop,B1
Truppe,die,"troop, force, unit",
Tuch,das,"cloth, scarf, sheet",B1
Tunnel,der,tunnel,
Tür,die,door,A2
Türkei,die,Turkey,
Turm,der,tower,B1
Turnier,das,tournament,
Tüte,die,bag,B1
TV,das,TV,
Typ,der,"type, guy, fellow, bloke",B1
U-Bahn,die,"underground, tube, subway, metro",B1
Überblick,der,"view, overview, survey, summary",
Übereinstimmung,die,"agreement, accordance, conformity, compliance, match",
Überfall,der,"robbery, raid, attack",
Übergang,der,"passage, crossing, transition, shift",
Überlegung,die,"consideration , thought, thinking, reflection",
Übernachtung,die,overnight stay,B1
Übernahme,die,"takeover, assumption, acquisition",
Überprüfung,die,"screening, check, inspection, verification, review",
Überraschung,die,"surprise, astonishment",B1
Überschrift,die,"title, heading, headline, header",B1
Übersetzer,der,translator,B1
Übersetzung,die,translation,A2
Übersicht,die,overview,
Überstunde,die,"overtime, hour of overtime, extra hour",B1
Übertragung,die,"transmission, broadcast",
Überweisung,die,"transfer, remittance, referral",B1
Überzeugung,die,"conviction, persuasion",B1
Übung,die,"exercise, practice, drill, tutorial, training",B1
Ufer,das,"shore, bank, waterfront, waterside",B1
Uhr,die,"clock, watch, o'clock",A1
Uhrzeit,die,time (of day),
Ukraine,die,Ukraine,
Umfang,der,"circumference, size, girth, extent",
Umfeld,das,"milieu, environment",
Umfrage,die,"survey, poll",B1
Umgang,der,"handling, dealing, contact, social interaction",
Umgebung,die,"surroundings, environment",B1
Umkleidekabine,die,"changing room, changing cubicle",
Umland,das,surrounding area,
Umleitung,die,"detour, diversion, redirection",B1
Umsatz,der,"turnover, sales",
Umschlag,der,"envelope, cover, wrapper, handling",
Umsetzung,die,"transfer, implementation, realization, realisation, execution",
Umstand,der,circumstance,
Umtausch,der,exchange,B1
Umweg,der,"detour, diversion, long way round",
Umwelt,die,environment,B1
Umweltschutz,der,environmental protection,B1
Umweltverschmutzung,die,pollution,B1
Umzug,der,"move, moving, relocation, parade",A2
Unbekannte,der,"unknown, stranger",
Unfall,der,accident,A2
Ungeduld,die,impatience,
Unglück,das,"disaster, bad luck, misfortune, accident, tragedy",B1
Uniform,die,uniform,B1
Union,die,union,
"Universität, Uni",die,university,A2
Universum,das,universe,
Unrecht,das,"injustice, wrong",
Unruhe,die,"unrest, restlessness, agitation",
Unsicherheit,die,"uncertainty, insecurity",
Unsinn,der,"nonsense, rubbish",
Unterhaltung,die,"entertainment, conversation, chat",B1
Unterhose,die,(under)pants,
Unterkunft,die,"accommodation, lodging, housing, shelter",A2
Unterlage,die,"underlay, underlayment, mat, pad",
Unterlagen,die,"documents, papers, records, files",B1
Unternehmen,das,"enterprise, company, business, firm",
Unternehmer,der,"employer, entrepreneur",B1
Unternehmung,die,"untertaking, venture",
Unterricht,der,"lesson, class, instruction",A1
Unterscheidung,die,"differentiation, distinction",
Unterschied,der,"difference, distinction",A2
Unterschrift,die,signature,A1
Unterstützung,die,support,B1
Untersuchung,die,"examination, investigation, enquiry",B1
Unwetter,das,"storm, thunderstorm, bad weather, tempest",
Urgroßmutter,die,great-grandmother,
Urgroßvater,der,great-grandfather,
Urkunde,die,"certificate, deed, document",B1
Urlaub,der,"vacation, holiday",A1
Urlauber,der,"holiday-maker, vacationer, vacationist",
Urlaubsfoto,das,"holiday photo, vacation photo, holiday picture",
Ursache,die,"cause, reason",B1
Ursprung,der,"origin, source, root",
Urteil,das,"sentence, judgement, verdict",B1
Vampir,der,vampire,
Vanille,die,vanilla,
Variante,die,"variant, variation",
Vase,die,vase,B1
Vater,der,"father, dad",A1
Vatikan,der,Vatican,
Veilchen,das,"violet, black eye, shiner",
Verabredung,die,"appointment, date, agreement, arrangement",B1
Veränderung,die,change,
Veranstalter,der,organizer,
Veranstaltung,die,event,A2
Verantwortung,die,responsibility,B1
Verarbeitung,die,processing,
Verb,das,verb,
Verband,der,"association, federation, union, bandage",
Verbesserung,die,improvement,
Verbindung,die,"connection, link",B1
Verbot,das,"ban, prohibition, interdiction",B1
Verbrauch,der,consumption,
Verbraucher,der,consumer,
Verbrechen,das,crime,
Verbrecher,der,criminal,B1
Verbreitung,die,"spread, spreading, distribution, propagation",
Verdacht,der,suspicion,B1
Verdächtige,der,suspect,
Verdienst,der,"income, earnings, profit",
Verein,der,"association, club, society",A1
Vereinbarung,die,"agreement, arrangement",
Vereinigung,die,"organization, association, unification, union",
Verfahren,das,"method, process, procedure, technique",
Verfassung,die,"constitution, condition, state",
Verfügung,die,"disposal, order",
Vergangenheit,die,past,B1
Vergewaltigung,die,rape,
Vergleich,der,comparison,B1
Vergnügen,das,pleasure,B1
Verhalten,das,"behaviour, conduct",B1
Verhältnis,das,"relationship, ratio, proportion, relation",B1
Verhandlung,die,"negotiation, trial",
Verkauf,der,sale,
Verkäufer,der,"seller, vendor, shop assistant, salesperson, salesman",A1
Verkäuferin,die,"saleswoman, saleslady",A1
Verkehr,der,"traffic, transport",A2
Verkehrsmittel,das,means of transport,A2
Verkehrszeichen,das,"traffic sign, road sign",B1
Verlag,der,"publisher, publishing company, publishing house",B1
Verlauf,der,course,
Verletzung,die,"injury, violation, infringement",B1
Verlierer,der,loser,B1
Verlust,der,loss,B1
Vermieter,der,landlord,A1
Vermieterin,die,landlady,A1
Vermietung,die,"renting, rental",B1
Vermittlung,die,"negotiation, mediation, arranging, agency",B1
Vermögen,das,"assets, fortune, ability, capability",
Vermutung,die,"assumption, presumption, supposition, guess",
Vernunft,die,"reason, common sense",
Veröffentlichung,die,"publication, release, disclosure",
Verordnung,die,"regulation, prescription, order",
Verpackung,die,"packaging, packing, wrapping",
Verpflegung,die,"food, catering, board, meals, rations",
Verpflichtung,die,"commitment, engagement, obligation",
Verrat,der,"betrayal, treason",
Versager,der,"failure, loser, flop",
Versammlung,die,"meeting, gathering, assembly",B1
Versand,der,"shipping, shipment, dispatch",
Verschwendung,die,"waste, wastage, wasting, wastefulness",
Versehen,das,"mistake, accident, error, oversight",
Versichertenkarte,die,health insurance card,B1
Versicherung,die,"insurance, assurance",B1
Version,die,version,
Versorgung,die,"supply, care",
Verspätung,die,"delay, late arrival, tardiness",A2
Versprechen,das,promise,
Verstand,der,"mind, intellect, reason, brain",
Verständnis,das,"understanding, comprehension",B1
Versteck,das,"hiding place, hideout",
Versuch,der,"attempt, try, experiment",B1
Verteidigung,die,"defence, defense",
Verteilung,die,distribution,
Vertrag,der,"contract, agreement, treaty, pact",A2
Vertrauen,das,"trust, confidence, faith",B1
Vertreter,der,representative,B1
Vertretung,die,"replacement, substitute, representation",B1
Verwaltung,die,"administration, management",B1
Verwandte,der,relative,A1
Verwandtschaft,die,"relationship, relations, relatives, kinship",
Verwechslung,die,"mix-up, mistake, confusion",
Verwendung,die,"use, usage",
Verwirrung,die,"confusion, bewilderment",
Verzeichnis,das,"directory, list, register, folder",
Verzeihung,die,"forgiveness, pardon",B1
Verzicht,der,"renunciation, waiver, relinquishment, abstention",
Video,das,video,B1
Vielfalt,die,"diversity, variety",
Vielzahl,die,multitude,
Viertel,das,"quarter, district, fourth",A1
Viertelstunde,die,quarter of an hour,A1
Villa,die,villa,
Virus,der,virus,B1
Visitenkarte,die,"business card, calling card",B1
Visum,das,visa,B1
Vitamin,das,vitamin,B1
Vogel,der,bird,A2
Volk,das,"people, nation, folk",
Volkshochschule,die,adult education centre,
Volkswirtschaft,die,"national economy, economy, economics",
Volleyball,der,volleyball,A2
Vollkornbrot,das,"wholemeal bread, wholegrain bread, wholewheat bread",
Vollzeit,die,full-time,B1
Volumen,das,"volume, capacity, total amount",
Voraussetzung,die,"prerequisite, condition, precondition, requirement",B1
Vorbereitung,die,preparation,B1
Vorbild,das,"model, example",
Vordergrund,der,foreground,
Vorderseite,die,front,
Vorfahr,der,"ancestor, forefather",
Vorfahrt,die,"right of way, priority",B1
Vorfall,der,"incident, event",
Vorgabe,die,"guideline, target, demand, specification, requirement",
Vorgang,der,"occurrence, process, procedure, event",
Vorgänger,der,predecessor,
Vorgehen,das,"action, approach",
Vorhaben,das,"plan, project",
Vorhang,der,curtain,
Vorjahr,das,previous year,
Vorlage,die,"template, draft, model",
Vorlesung,die,lecture,
Vormittag,der,morning,A1
Vorname,der,"first name, given name, forename",A1
Vorort,der,suburb,B1
Vorrat,der,"stock, supply, store, reserve",
Vorschlag,der,"suggestion, proposal",A2
Vorschrift,die,"instruction, regulation",B1
Vorsicht,die,"caution, care, prudence",A1
Vorsitzende,der,"chairman, chairwoman, chairperson",
Vorsorge,die,"provision, precaution, prevention",
Vorspeise,die,"starter, appetizer",B1
Vorstand,der,"board, executive board, chairperson",
Vorstellung,die,"idea, introduction, performance, show",B1
Vorstellungsgespräch,das,(job) interview,B1
Vorteil,der,advantage,B1
Vortrag,der,"lecture, talk, speech, presentation",B1
Vorwahl,die,"area code, dialling code, pre-selection, pre-election",A1
Vorwurf,der,"reproach, accusation, allegation",B1
Waage,die,"scale(s), Libra",
Wachstum,das,"growth, increase",
Waffe,die,weapon,
Waffel,die,"waffle, wafer, cone",
Wagen,der,"car, wagon, carriage, trolley, cart",A2
Wahl,die,"choice, election",B1
Wähler,der,"voter, electorate, elector",
Wahlkampf,der,"election campaign, campaign",
Wahnsinn,der,"madness, insanity, lunacy",
Wahrheit,die,truth,B1
Wahrnehmung,die,perception,
Wahrscheinlichkeit,die,"probability, likelihood",
Währung,die,currency,
Wald,der,"forest, wood, woods",A2
Wand,die,wall,B1
Wandel,der,"change, transition",
Wanderung,die,"hike, migration",B1
Wange,die,cheek,
Ware,die,goods,B1
Wärme,die,"warmth, heat",B1
Warnung,die,"warning, alert",
Wäsche,die,"washing, laundry",A2
Waschmaschine,die,washing machine,
Waschmittel,das,"washing powder, (laundry) detergent",B1
Wasser,das,water,A1
Wasserfall,der,waterfall,
Wassermann,der,Aquarius,
Wassermelone,die,watermelon,
Wasserstoff,der,hydrogen,
Website,die,website,A2
Wechsel,der,"change, shift",
Wecker,der,alarm (clock),B1
Weg,der,"path, way, route, road, trail",A2
Wegweiser,der,"signpost, guide",
Weib,das,woman (derogatory),
Weide,die,"pasture, willow",
Weihnachten,das,Christmas,A2
Weihnachtsmarkt,der,"Christmas market, Christmas fair",
Weile,die,while,
Wein,der,wine,A1
Weise,die,"way, manner",
Weiterbildung,die,"continuing education, further education, further training",B1
Welle,die,wave,
Wellness,die,wellness,
Welt,die,world,A1
Weltkrieg,der,world war,
Weltkugel,die,globe,
Weltmeister,der,world champion,
"Weltmeisterschaft, WM",die,world championship,
Weltraum,der,"space, outer space",
Wende,die,"turn, change",
Wendepunkt,der,"turning point, watershed",
Werbung,die,"advertising, advertisement, publicity, commercial",B1
Werk,das,"work, piece, oeuvre, factory, plant",B1
Werkstatt,die,"workshop, garage",A2
Werktag,der,"workday, working day",A2
Werkzeug,das,"tool, instrument",B1
Wert,der,"value, worth",B1
Wesen,das,"being, creature, nature",
Westen,der,west,A1
Wettbewerb,der,competition,A2
Wette,die,"bet, wager",
Wetter,das,weather,A1
Wetterbericht,der,weather report,B1
Wettervorhersage,die,weather forecast,B1
Widder,der,"ram, Aries",
Widerspruch,der,"contradiction, objection, opposition, dissent",
Widerstand,der,"resistance, opposition, resistor",
Wiedergutmachung,die,"compensation, amends, reparation",
Wiederholung,die,"repetition, repeat, revision, retake, rerun",B1
Wiederhören,das,goodbye,A1
Wiedersehen,das,"reunion, (next) meeting, goodbye",A1
Wiedervereinigung,die,reunification,
Wiese,die,"meadow, lawn",B1
Wikinger,der,Viking,
Wille,der,will,
Wind,der,wind,A1
Winkel,der,"angle, corner",
Winter,der,winter,A1
Wirklichkeit,die,reality,B1
Wirkung,die,effect,B1
Wirt,der,"host, landlord, restaurant owner, bar owner",B1
Wirtin,die,"landlady, hostess",B1
Wirtschaft,die,"economy, commerce, restaurant, pub, business",B1
Wissen,das,knowledge,B1
Wissenschaft,die,science,B1
Wissenschaftler,der,"scientist, researcher, scholar",B1
Witwe,die,widow,
Witz,der,joke,A2
WLAN,das,Wi-Fi,
Woche,die,week,A1
Wochenende,das,weekend,A1
Wochentag,der,"weekday, day of the week",A1
Wohlbefinden,das,"well-being, wellbeing, wellness, welfare",
Wohlstand,der,"prosperity, affluence, wealth",
Wohnheim,das,"residence, dorm, dormitory, hostel",
Wohnmobil,das,"motorhome, camper, mobile home",
Wohnort,der,place of residence,B1
Wohnsitz,der,"residence, domicile, abode",B1
Wohnung,die,"apartment, flat",A1
Wohnzimmer,das,living room,A2
Wolf,der,wolf,
Wolke,die,cloud,A2
Wolle,die,wool,B1
Workshop,der,workshop,A2
Wort,das,word,A1
Wörterbuch,das,dictionary,A2
Wortschatz,der,vocabulary,
Wunde,die,wound,B1
Wunder,das,"miracle, wonder",B1
Wunsch,der,"wish, request, desire",A2
Würde,die,dignity,
Wurf,der,"throw, litter, toss",
Würfel,der,"cube, dice, die",
Wurst,die,sausage,A2
Wurzel,die,root,
Wüste,die,desert,
Wut,die,"anger, rage, fury",
Zahl,die,number,A2
Zahlung,die,payment,B1
Zahn,der,tooth,A2
Zahnarzt,der,dentist,
Zahnbürste,die,toothbrush,B1
Zahncreme,die,toothpaste,B1
Zahnpasta,die,toothpaste,B1
Zahnschmerz,der,toothache,
Zange,die,"pliers, pincer, forceps",B1
Zauber,der,"magic, spell, charm, fascination",
Zauberer,der,"wizard, magician, sorcerer, warlock",
Zebra,das,zebra,
Zeh,der,toe,
Zeichen,das,"sign, character, symbol",B1
Zeichnung,die,"drawing, sketch",B1
Zeigefinger,der,"index finger, forefinger",
Zeiger,der,"hand, pointer, indicator, needle, cursor",
Zeile,die,"line, row",B1
Zeit,die,time,A1
Zeitplan,der,"schedule, timetable",
Zeitpunkt,der,"time, timing, moment",B1
Zeitraum,der,"period, time period, period of time, time rage",
Zeitschrift,die,"magazine, journal",A2
Zeitung,die,"newspaper, paper",A1
Zeitvertreib,der,pastime,
Zelle,die,cell,
Zelt,das,tent,A2
"Zentimeter, cm",der,"centimetre, centimeter, cm",A1
Zentrum,das,"centre, center",A2
Zerstörung,die,"destruction, devastation",
Zertifikat,das,certificate,B1
Zettel,der,"piece of paper, note, receipt",A2
Zeug,das,"stuff, things, nonsense",B1
Zeuge,der,witness,B1
Zeugnis,das,"report, certificate, testimony, testimonial",A2
Ziege,die,goat,
Ziel,das,"destination, goal, aim, target",A2
Ziffer,die,"digit, number, point, paragraph, clause",
Zigarette,die,cigarette,A1
Zimmer,das,room,A1
Zimmerschlüssel,der,room key,
Zins,der,"interest, rate",B1
Zinssatz,der,"rate, interest rate, rate of interest",
Zirkus,der,"circus, fuss",A2
Zitat,das,"quotation, quote",
Zitrone,die,lemon,A2
Zoll,der,"customs duty, duty, inch",A1
Zone,die,zone,B1
Zoo,der,zoo,A2
Zubehör,das,"accessory, accessories, equipment",
Zucker,der,sugar,A2
Zufall,der,"chance, coincidence",B1
Zufriedenheit,die,"satisfaction, contentment",
Zug,der,train,A1
Zugang,der,"access, entrance",B1
Zugriff,der,access,
Zuhause,das,home,B1
Zuhörer,der,"listener, audience (pl)",B1
Zukunft,die,future,B1
Zulassung,die,"admission, approval, licence",
Zunahme,die,"increase, gain",
Zuneigung,die,affection,
Zunge,die,tongue,
Zusammenarbeit,die,cooperation,B1
Zusammenhalt,der,"solidarity, team spirit, cohesion",
Zusammenhang,der,"connection, context, relation, link",B1
Zusammensetzung,die,composition,
Zuschauer,der,spectator,B1
Zuschlag,der,"surcharge, supplementary charge, supplement",B1
Zustand,der,"condition, state",B1
Zustimmung,die,"approval, consent, agreement, assent",B1
Zutat,die,"ingredient, addition",B1
Zuverlässigkeit,die,"reliability, dependability",
Zuversicht,die,confidence,
Zuwachs,der,"increase, growth, gain, increment",
Zwang,der,"force, pressure, compulsion, coercion, constraint",
Zweck,der,purpose,B1
Zweifel,der,doubt,B1
Zweig,der,"twig, (small) branch, sprig, department",
Zweitsprache,die,second language,B1
Zwerg,der,"dwarf, midget, gnome",
Zwiebel,die,"onion, bulb",B1
Zwilling,der,"twin, Gemini",
Zyklus,der,cycle,
